,Louvain.0,Louvain.1,Louvain.10,Louvain.11,Louvain.12,Louvain.13,Louvain.14,Louvain.15,Louvain.16,Louvain.17,Louvain.18,Louvain.2,Louvain.3,Louvain.4,Louvain.5,Louvain.6,Louvain.7,Louvain.8,Louvain.9
acinar,123,11,23,22,11,11,20,6,6,7,2,28,36,66,48,9,42,13,1
activated_stellate,33,23,11,10,6,9,9,5,9,2,4,26,18,10,14,15,12,17,16
alpha,355,165,137,93,75,77,73,67,27,30,16,257,164,193,153,89,113,123,88
beta,354,244,81,106,97,75,61,57,34,18,15,164,190,163,149,156,131,133,179
delta,76,68,25,21,25,29,17,18,3,8,3,47,40,35,37,41,35,24,36
ductal,107,72,58,50,35,31,39,27,21,11,8,72,80,67,57,58,46,60,59
endothelial,46,40,9,10,7,3,7,4,2,2,3,11,13,19,21,21,16,9,8
epsilon,0,4,1,0,0,0,0,0,1,2,0,0,2,0,2,5,0,1,0
gamma,15,26,12,14,9,10,7,4,3,2,0,27,20,11,9,26,14,22,24
macrophage,6,5,1,2,0,1,1,0,2,0,0,6,4,3,4,4,3,3,2
mast,4,3,1,1,1,0,0,0,2,0,0,5,2,2,1,0,0,2,1
quiescent_stellate,18,22,3,10,5,2,7,1,2,0,0,13,23,14,13,13,13,10,2
schwann,1,1,2,0,1,0,2,0,0,0,0,1,1,0,0,2,0,1,1
t_cell,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
